timestamp,phase,activity,actor,active_minutes,wall_minutes,checker_calls,checker_green,files_changed,loc_added,loc_deleted,invariant_revisions,lemma_graph_revisions,notes
2026-07-31T13:20:00-04:00,M0,raw-r0-concrete-guard-bricks,Codex+m0_bridge,,2.312,5,1,,,,,,"Runs list-raw-r0-01 through 05: final run 20260731Tlist-raw-r0-05-guards proves concrete list/item/sentinel c_guard facts with quick_and_dirty=false; four failed attempts retained"
2026-07-31T13:25:00-04:00,M0,raw-r1-list-initialise,Codex+m0_bridge,,2.180,5,1,,,,,,"Runs list-raw-r1-01 through 05: final run 20260731Tlist-raw-r1-05-init proves positive vListInitialise execution, exact empty-list fields, and a 0x3000 byte frame with quick_and_dirty=false"
2026-07-31T13:35:00-04:00,M0,raw-r2-item-initialise,Codex+m0_bridge,,1.754,4,1,,,,,,"Runs list-raw-r2-01 through 04: final run 20260731Tlist-raw-r2-04-init-item proves positive vListInitialiseItem execution, pvContainer=NULL, item/list field frames, and a 0x3000 byte frame with quick_and_dirty=false; this is not yet a source-to-abstract refinement theorem"
2026-07-31T13:45:00-04:00,M0,raw-r3a-common-prefix,Codex+m0_bridge,,0.494,1,1,,,,,,"Run 20260731Tlist-raw-r3a-01-prefix proves key/next/previous common-prefix projections from the 20-byte list view to the cast sentinel view for arbitrary raw heaps, without typed-root or allocation premises"
2026-07-31T14:00:00-04:00,M0,raw-r3b-sentinel-write-locality,Codex+m0_bridge,,7.220,19,7,,,,,,"Runs list-raw-r3b-01 through 19: final run 20260731Tlist-raw-r3b-19-selector-frames checks whole-item-to-field and embedded-list normalization, next/previous selector frames, and arbitrary-heap preservation of the eight bytes beyond the real list object"
2026-07-31T14:15:00-04:00,M0,raw-r3c-concrete-prestate,Codex+m0_bridge,,2.461,6,1,,,,,,"Runs list-raw-r3c-01 through 06 total exactly 147.630 s; final run 20260731Tlist-raw-r3c-06-prestate checks the exact empty-list/fresh-item raw prestate, ten projected source fields, and heap-typing preservation"
2026-07-31T14:20:00-04:00,M0,raw-r3d-positive-insert-result,Codex+m0_bridge,,2.181,5,1,,,,,,"Runs list-raw-r3d-01 through 05 total exactly 130.880 s; final run 20260731Tlist-raw-r3d-05-result checks a positive Result () execution of source-derived raw vListInsertEnd' at the exact witness"
2026-07-31T14:25:00-04:00,M0,raw-r3e-count-index-post,Codex+m0_bridge,,2.881,4,3,,,,,,"Runs list-raw-r3e-01 through 04 total exactly 172.845 s; final run 20260731Tlist-raw-r3e-04-count-index-post checks Result (), count 1, and cursor at the inserted item"
2026-07-31T14:30:00-04:00,M0,raw-r3f-singleton-topology,Codex+m0_bridge,,4.226,9,5,,,,,,"Runs list-raw-r3f-01 through 09 total exactly 253.531 s; final run 20260731Tlist-raw-r3f-09-container checks sentinel links, item links, and container topology"
2026-07-31T14:35:00-04:00,M0,raw-r3g-insert-frames,Codex+m0_bridge,,4.568,10,5,,,,,,"Runs list-raw-r3g-01 through 10 total exactly 274.069 s; final run 20260731Tlist-raw-r3g-10-canary-htd checks key/owner, tail8, far-canary, and heap-typing frames through its parent sessions"
2026-07-31T14:40:00-04:00,M0,raw-r3-master-closeout,Codex+m0_bridge,,0.559,1,1,,,,,,"Run 20260731Tlist-raw-r3-master-01 took exactly 33.513 s and mechanically conjoins the eight green postcondition groups; R3c through master total exactly 1012.468 s, 35 checker calls, 16 green"
2026-07-31T14:50:00-04:00,M0,raw-r5-fixed-insert-refinement,Codex+m0_bridge,,3.469,10,1,,,,,,"Runs 20260731Tlist-raw-r5-01 through 10 total exactly 208.138 s; final run 20260731Tlist-raw-r5-10-show-thesis is exit-zero in 25.236 s and checks the fixed empty-to-singleton raw_xlist_rel/list_insert_end_abs simulation; theory SHA-256 5CD5EF0B3850FEBD712664EA375ED04E3BDDD2C8B80B9AEA75EBDF006613A199; general-N/remove/scheduler refinement remains pending"
2026-07-31T15:09:33-04:00,M0,scheduler-source-trace-independent,Codex+raw_rep_design,,0.094,3,3,3,1243,0,7,1,"Run 20260731Tscheduler-trace-02-independent completed in 5.621 s; compile/trace/analysis 0/0/0, 39 records, 13 snapshots, 25 checks, four scenarios, zero fatal; all recorded hashes match run01; these are execution gates rather than Isabelle checker calls or a scheduler refinement theorem; only run01 had the separate manual ASan/UBSan check"
2026-07-31T15:25:00-04:00,M0,raw-r4-singleton-remove-closeout,Codex+m0_bridge,,12.112,21,11,,,,,,"Runs through 20260731Tlist-raw-r4-master-01 total exactly 726.726 s across 21 calls/11 green; final master run took 38.229 s with quick_and_dirty=false; theory SHA-256 6F7F2107DD62B00D8541DA2E3C449452AD70A5E291DBC31D835B6819EE998E54; fixed singleton-to-empty concrete theorem, not source-to-abstract refinement"
2026-07-31T15:30:00-04:00,M0,raw-r5-fixed-remove-refinement,Codex+m0_bridge,,1.349,2,1,,,,,,"Runs r5r-01 and 20260731Tlist-raw-r5r-02-remove-refinement total exactly 80.967 s; first red 45.226 s while the prestate leaf was green; final run 35.741 s with quick_and_dirty=false; theorem raw_vListRemove_singleton_refines maps vListRemove' through raw_xlist_rel to list_remove_abs; prestate/refinement SHA-256 FE1DF5B644267CD33E6C5E6962144684BDF3EC0A3E3E62DA3701D09AEAF49AF7 / 4187C45D7E870E77A3EC009B0D1424597BFF9FEBB84A850D59FF4DB6C6FF653F; exact refinement theorem count now two; general-N/sequential/scheduler pending"
2026-07-31T15:35:00-04:00,M0,raw-r5-general-cycle-layer,Codex+m0_bridge,,1.886,4,1,,,,,,"Runs 20260731Tlist-raw-r5c-01-cycle through 20260731Tlist-raw-r5c-04-nth-append total exactly 113.138 s across four calls/one green; first three calls red; final run 24.581 s with quick_and_dirty=false; theory SHA-256 E4C7B971C69464B29C1ED2EE4B20D0E87B1A329F80E960AAE14A779F442E4F3E; arbitrary finite-cycle representation/reachability lemmas, no generated C body and not operational refinement"
2026-07-31T15:40:00-04:00,M0,raw-r6-generic-prefix-layer,Codex+m0_bridge,,0.588,1,1,,,,,,"Run 20260731Tlist-raw-r6gp-01-generic-prefix took exactly 35.260 s with quick_and_dirty=false; theory SHA-256 281703B2FDEDEC5756C5F01127F4DFE4FB367F9E9F7C72CFD7A56FCDE6A1CD85; address-parametric embedded mini-sentinel/full-item prefix facts, no generated C body and not operational refinement"
2026-07-31T15:45:00-04:00,M0,raw-r6-dynamic-guard-layer,Codex+m0_bridge,,2.522,6,1,,,,,,"Runs 20260731Tlist-raw-r6dg-01-dynamic-guards through 20260731Tlist-raw-r6dg-06-imageI total exactly 151.292 s across six calls/one green; first five calls red; final run 23.831 s with quick_and_dirty=false; theory SHA-256 82D4F9E75A801E4D433346F85B5B32FE59BDE1992F70A2BE67283CC1A68A1758; general-N cycle closure and source-VCG entrance guards only, no generated C body and not operational refinement"
2026-07-31T15:50:00-04:00,M0,scheduler-pure-abstract-model,Codex+m0_bridge,,2.609,5,1,,,,,,"Runs 20260731Tscheduler-abs-01-first-check through 20260731Tscheduler-abs-05-let-def total exactly 156.511 s across five calls/one green; first four calls red; final run 45.724 s with quick_and_dirty=false; theory SHA-256 FE22AA8F2850CDCD777D89E1D6CD3880DCD9D9524A75DCACF97B46839B98D1DE; five pure scheduler endpoint definitions and basic facts, no raw heap/generated C/relation and not scheduler C refinement"
2026-07-31T15:55:00-04:00,M0,scheduler-cparser-gate,Codex+m0_bridge,,0.844,1,1,,,,,,"Run 20260731Tscheduler-parse-01 took exactly 50.663 s with quick_and_dirty=false; theory SHA-256 353A991C993A16F33D197E51709D39958DA8F64672AC82D1E14CBDDB127BBF09; unmodified tasks.c/list.c composition-unit CParser gate only, not source-to-abstract refinement"
2026-07-31T16:00:00-04:00,M0,scheduler-tick-raw-translation,Codex+m0_bridge,,1.312,2,1,,,,,,"Initial split-heap run 20260731Tscheduler-tick-01 was red after 56.917 s; final skip_heap_abs run 20260731Tscheduler-tick-02-raw-heap was green in 21.777 s with quick_and_dirty=false; total exactly 78.694 s across two calls/one green; theory SHA-256 7299537CA9D94A6B292F308114250F99AF435F3E891CB62407411AE67071E291; raw-heap translation gate only, not refinement"
2026-07-31T16:05:00-04:00,M0,scheduler-delay-raw-translation,Codex+m0_bridge,,0.736,1,1,,,,,,"Run 20260731Tscheduler-delay-01-raw-heap took exactly 44.158 s with quick_and_dirty=false; theory SHA-256 D34512E4642779C49BF412E7FF05E4FB622EF47E255F152AA1CB765E7EA89A68; raw-heap delay/increment/support translation gate only, not refinement"
2026-07-31T16:10:00-04:00,M0,scheduler-roots-raw-translation,Codex+m0_bridge,,0.766,1,1,,,,,,"Run 20260731Tscheduler-roots-01-raw-heap took exactly 45.959 s with quick_and_dirty=false; theory SHA-256 B560345AB2B38ADC871060A33E7A850E8603C8CC5DADFD6D1945A2FD2C3A3E7B; raw-heap vTaskDelayUntil/vTaskSwitchContext translation gate only, not refinement"
2026-07-31T16:15:00-04:00,M0,scheduler-tick-read-refinement,Codex+m0_bridge,,1.210,3,2,,,,,,"Runs 20260731Tscheduler-tick-refine-01 through 03 total exactly 72.610 s across three calls/two green: 23.799 s red, 24.488 s green, final 24.323 s green with quick_and_dirty=false; theory SHA-256 99D46C2193DD213CF6D4645D48A4F93F18B50CA8887BA1ABC74255BF77094BCA; xTaskGetTickCount_refines maps xTaskGetTickCount' via scheduler_tick_boundary_rel to task_get_tick_abs at depth=interrupts=0, returning committed tick rather than missed ticks; exact refinement theorem count now three"
2026-07-31T16:32:36-04:00,M0,raw-r6-unlink-locality-positive-execution,Codex+m0_bridge,,5.693,13,4,,,,,,"Runs r6ul-01 through 20260731Tlist-raw-r6ul-13-general-remove-direct-exact total exactly 341.606 s; final green 26.303 s with quick_and_dirty=false; theory SHA-256 7EA7C1094272F35FF5D80A58D89D588F180617BF3ED679371CBCEE887A2D3BBF; raw_vListRemove_general_result opens vListRemove' but proves Result only, with no abstract postrelation and zero refinement-count delta"
2026-07-31T16:45:37-04:00,M0,raw-r6-insert-relation-assembler,Codex+m0_bridge,,1.448,3,1,,,,,,"Runs r6ir-01 through 20260731Tlist-raw-r6ir-03-live-cases total exactly 86.850 s; final green 25.600 s with quick_and_dirty=false; theory SHA-256 9022271DAB3CE824CBE19C5D2DBB1EF2AC4295D6CFACD0BA6F6E6B3D061A204D; pure raw_xlist_rel insertion assembler, no generated C body and zero refinement-count delta"
2026-07-31T16:46:40-04:00,M0,scheduler-switch-suspended-refinement,Codex+m0_bridge,,0.609,1,1,,,,,,"Run 20260731Tscheduler-switch-suspended-01 took exactly 36.548 s with quick_and_dirty=false; theory SHA-256 E6907500EEE776183F11178EEDDC095E6DE92E14CB7C23A8F382C2B16C685D4A; vTaskSwitchContext_suspended_refines maps nonzero-suspension xMissedYield:=1 to sa_missed_yield=True without ready-list access or proof-port yield; genuine restricted refinement theorem #4"
2026-07-31T16:50:23-04:00,M0,scheduler-increment-tick-suspended-refinement,Codex+m0_bridge,,0.605,1,1,,,,,,"Run 20260731Tscheduler-increment-tick-suspended-01 took exactly 36.297 s with quick_and_dirty=false; theory SHA-256 06077C3FCD1F17C07694437957C7D4AA5CB94D68C056B3BC80B9E3B73F60F098; vTaskIncrementTick_suspended_refines maps suspended missed-tick word increment to natural debt under explicit no-wrap, leaving committed tick and delayed lists untouched; genuine restricted refinement theorem #5"
2026-07-31T16:52:47-04:00,M0,raw-r6-unlink-projection,Codex+m0_bridge,,1.900,4,3,,,,,,"Runs r6up-01 35.253 s green, r6up-02 25.858 s green, r6up-03 25.485 s red, and final 20260731Tlist-raw-r6up-04-two-write-where 27.420 s green total exactly 114.016 s; current theory SHA-256 8581095989FC3ED46DE8BA4E9A6FFEB12BE0A016E6076313E40699C8C2A62712; pure same-node/cross-node/sentinel alias projection plus two-write ring-link effect, no generated C body and zero refinement-count delta"
2026-07-31T16:54:44-04:00,M0,raw-r6-remove-relation-assembler,Codex+m0_bridge,,5.102,7,2,,,,,,"Runs r6rr-01 through 07 total exactly 306.099 s; r6rr-06-no-blast first closed raw_xlist_rel_removeI in 24.539 s, final 20260731Tlist-raw-r6rr-07-count-transfer added the explicit count transfer and was green in 26.641 s; current theory SHA-256 4CE9BE41FC318FCF2919BCAC2F72B7CED73833BA3DC37980D92B827A429687CF; pure relation assembler, no generated C body and zero refinement-count delta"
2026-07-31T16:57:23-04:00,M0,scheduler-delay-zero-refinement,Codex+m0_bridge,,0.897,2,1,,,,,,"Runs scheduler-delay-zero-01 red 33.218 s due only to a redundant tactic and final 20260731Tscheduler-delay-zero-02-vcg-solved green 20.619 s total exactly 53.837 s; quick_and_dirty=false; theory SHA-256 A77DE8F4215AF1EE592858B9232FD8F3EF068D5A2C12C4912C99028FE525D9E4; vTaskDelay_zero_refines covers argument exactly zero and non-wrapping yield count, not positive delay; genuine restricted refinement theorem #6"
2026-07-31T17:21:33-04:00,M0,raw-r6-remove-effect-metadata,Codex+m0_bridge,,8.180,18,7,,,,,,"Runs r6rm-01 through 20260731Tlist-raw-r6rm-18-branch-count total exactly 490.788 s; final green 26.904 s with quick_and_dirty=false; theory SHA-256 AF30BE7A4A98C4F96D8B564D564B5929C80B926370766D393A06284CC979AEE5; pure raw_remove_effect and raw_remove_effect_refines assembly, no generated C body and zero refinement-count delta by itself"
2026-07-31T17:29:32-04:00,M0,raw-r6-remove-source-heap-effect,Codex+m0_bridge,,5.409,9,2,,,,,,"Runs r6rse-01 through 20260731Tlist-raw-r6rse-09-exact-heap-let total exactly 324.541 s; final green 32.752 s with quick_and_dirty=false; theory SHA-256 E3B1DFB0FE53A6A549CFC74DD84D34B7018DAE3848FA9CCF9ABCB44FEECBEC26; raw_vListRemove_general_count_effect and raw_vListRemove_general_heap_effect perform the single generated-body VCG and fix the exact byte-heap transformer; source effect only, not yet refinement"
2026-07-31T17:36:35-04:00,M0,raw-r6-remove-index-effect,Codex+m0_bridge,,3.127,6,1,,,,,,"Runs r6rie-01 through 20260731Tlist-raw-r6rie-06-taken-index-def total exactly 187.597 s; final green 26.991 s with quick_and_dirty=false; theory SHA-256 1ABFC8C67E6B97A396C2318A1FDB3A79DAE01736158CBA0555E856AC2B4F70B4; projects exact source heap effect to index/cursor repair, no new generated-body VCG and not refinement alone"
2026-07-31T17:40:24-04:00,M0,raw-r6-remove-payload-effect,Codex+m0_bridge,,1.831,4,1,,,,,,"Runs r6rpe-01 through 20260731Tlist-raw-r6rpe-04-heap-projection total exactly 109.881 s; final green 27.613 s with quick_and_dirty=false; theory SHA-256 4E299F699558DFB127FB1F14BC6639AF0DAF637786B50718C27F59F437C0F9F2; projects exact source heap effect to surviving key/container frames, no new generated-body VCG and not refinement alone"
2026-07-31T17:45:16-04:00,M0,raw-r6-remove-topology-effect,Codex+m0_bridge,,2.650,6,2,,,,,,"Runs r6rte-01 through 20260731Tlist-raw-r6rte-06-heap-projection total exactly 158.988 s; final green 27.186 s with quick_and_dirty=false; theory SHA-256 5B6FDCEAABDC0B042FB2B65462D98F89BD100C9605238793D81A952DD95999B3; projects exact source heap effect to raw_ring_links after remove1, no new generated-body VCG and not refinement alone"
2026-07-31T17:46:28-04:00,M0,raw-r6-general-remove-refinement,Codex+m0_bridge,,0.625,1,1,,,,,,"Run 20260731Tlist-raw-r6rgr-01-assemble took exactly 37.520 s with quick_and_dirty=false; theory SHA-256 A08443F3DC4B2CB828D8089AC41BC4F59C004C38E98257A07B9B607E2F039B6A; raw_vListRemove_general_effect conjoins count/index/topology/payload projections and raw_vListRemove_general_refines maps arbitrary raw_xlist_rel member removal to list_remove_abs; full six-stage pipeline exactly 1309.315 s across 44 calls/14 green; genuine general-operation refinement theorem #7"
2026-07-31T17:56:44-04:00,M0,scheduler-delay-until-suspended-no-delay-refinement,Codex+m0_bridge,,4.456,8,2,,,,,,"Runs scheduler-delay-until-nodelay-01 through 20260731Tscheduler-delay-until-nodelay-08-readback total exactly 267.381 s; run 05 first checked the exact source theorem in 33.522 s and final run 08 checked vTaskDelayUntil_suspended_no_delay_refines in 34.100 s with quick_and_dirty=false; theory SHA-256 44C6CF2B014D9BB9D2F47D4770246457DD0EFCB3850FB2D52B6301FAF19A51EB; depth 1->2->1, guarded wake pointer, no-delay branch, one yield, no blocking/list migration; genuine restricted refinement theorem #8"
2026-07-31T17:57:22-04:00,M0,raw-r6-insert-source-heap-effect,Codex+m0_bridge,,0.459,1,1,,,,,,"Run 20260731Tlist-raw-r6ise-01-first took exactly 27.544 s with quick_and_dirty=false; theory SHA-256 38D21F5E8D283FD8938912C23F3D271A8CEFB7FA3640D4EE7CA61A806149BC0D; raw_vListInsertEnd_general_heap_effect opens the generated body once and fixes normal return plus the exact seven-stage raw_insert_concrete_heap transformer; supporting source effect only, zero refinement-count delta"
2026-07-31T18:07:38-04:00,M0,raw-r6-general-insert-refinement,Codex+m0_bridge,,2.526,4,1,,,,,,"Runs list-raw-r6ipt-01 through 20260731Tlist-raw-r6ipt-04-where-spacing total exactly 151.579 s; final green 36.401 s with quick_and_dirty=false; theory SHA-256 E83219F8F59CBF18A6BB4050A3E8F380F586BD5B237AD0EE2857D7635846959C; raw_vListInsertEnd_general_refines_via_transformer maps arbitrary raw_xlist_rel fresh insertion with a non-wrapping count to list_insert_end_abs; full support-plus-assembly pipeline 179.123 s across 5 calls/2 green; genuine general-operation refinement theorem #9"
2026-07-31T18:12:51-04:00,M0,scheduler-positive-delay-phase-trace,Codex,,0.102,3,3,,,,,,"Run 20260731Tscheduler-trace-03-delay-phases completed compile/trace/analysis 0/0/0 in 6.097 s; 57 records, 17 snapshots, 39 checks, 6 scenarios, 0 fatal; positive delay no-wrap/wrap and stable-running/yield-pending phase evidence; harness SHA-256 9B9BD5D73AFBBCB7715016A8A1A1D9A2FF8A14471FBBE31CF2EA70205D5123A7; runner SHA-256 1D855DF45BBBB009725AED8C203D8FE529D6EEF8EEA5D88F10FF492121C0DD84; executable invariant-discovery evidence, not refinement"
2026-07-31T18:28:39-04:00,M0,raw-r6-remove-insert-sequence-refinement,Codex+m0_bridge,,3.953,7,4,,,,,,"Runs 20260731Tlist-raw-r6ris-01-pure-bricks through 20260731Tlist-raw-r6ris-07-bind-weaken total exactly 237.172 s across seven calls/four green; final run took 31.956 s with quick_and_dirty=false; raw_vListRemove_insert_end_general_refines composes general member removal and fresh insert-end through raw_xlist_rel to list_insert_end_abs after list_remove_abs; bridges post-remove freshness, count headroom, and item-key preservation; theory SHA-256 E12FDC4BA9A08F62C2C8F0C8493657CECE41FEE88D8B14F11360738E65B85A9D; genuine sequential source-to-abstract theorem #10 with zero distinct-operation-count delta"
2026-07-31T18:49:00-04:00,M0,raw-r6-ordered-insert-empty-source,Codex+m0_bridge,,8.906,18,5,,,,,,"Runs 20260731Tlist-raw-r6ois-01-pure through 20260731Tlist-raw-r6ois-18-transformer-end-frame total exactly 534.339 s across 18 calls/five green; final run took 39.848 s with quick_and_dirty=false; unified max/nonmax empty-list vListInsert' source effect yields raw_ordered_insert_empty_heap; theory SHA-256 238178DDF2C973ABF1D2B80B98EAA475D39C89B3DEED16F118480F3A82E681C9; source-effect support only with zero refinement-count delta"
2026-07-31T18:51:00-04:00,M0,scheduler-p2-pure-model,Codex+m0_bridge,,1.921,6,2,,,,,,"Runs 20260731Tscheduler-p2-01-transition through 20260731Tscheduler-p2-06-post-witness total exactly 115.266 s across six calls/two green; final run took 12.597 s with quick_and_dirty=false; task_delay_abs 2 maps settled p2_pre to p2_post, which is core_wf but not settled_wf; theory SHA-256 FB03C1FDE6BEC66357F4E7185838423B8867D8999E2CD1422CF2064DC0C48236; pure abstract witness without raw heap/generated C/source relation and zero refinement-count delta"
2026-07-31T18:55:00-04:00,M0,raw-r6-ordered-insert-empty-refinement,Codex+m0_bridge,,2.800,3,1,,,,,,"Runs 20260731Tlist-raw-r6oier-01-assembler through 20260731Tlist-raw-r6oier-03-key-let total exactly 167.993 s across three calls/one green; final run took 89.835 s with quick_and_dirty=false; raw_vListInsert_ordered_empty_refines plus ordered-relation and max-key corollaries map the empty source branch to list_insert_ordered_abs; theory SHA-256 8319D39955FACD488B1409C1CFABBC021E8332A3A3F52645C4A88BDE50413806; full ordered-empty pipeline 702.332 s across 21 calls/six green; restricted theorem #11 and distinct refined operation #8"
2026-07-31T18:58:37-04:00,M0,scheduler-raw-list-relabel,Codex,,0.955,2,1,,,,,,"Runs 20260731Tscheduler-relabel-01-defs and final 20260731Tscheduler-relabel-02-intro-disambiguate total exactly 57.276 s across two calls/one green; final green 29.046 s with quick_and_dirty=false; theory SHA-256 3EED28E0FA3ADC44682E4ABE32569A4D2BDC1FA3392F693E7DA07578A2F129AA; pure explicit-decoder relabelling support, no generated C body and zero refinement-count/distinct-operation delta"
2026-07-31T19:07:46-04:00,M0,scheduler-generated-layout-diagnostic,Codex,,3.937,4,1,,,,,,"Runs 20260731Tscheduler-p2-layout-first-01-direct-reuse-diagnostic through final 20260731Tscheduler-p2-layout-first-04-green total exactly 236.199 s across four calls/one green; final green 58.491 s with quick_and_dirty=false; theory SHA-256 604A4BCCE04F39AFC499A3F58BC9DD65F7E31A57CA8AB526467DB645FFA8F843; common 32-word-to-8-word heap carrier but distinct scheduler/raw generated struct universes; diagnostic only with zero refinement-count/distinct-operation delta"
2026-07-31T19:19:31-04:00,M0,scheduler-translation-unit-abi-plan,Codex,,,0,0,1,,,,,"Static design-only note with zero checker calls and no build claim; note SHA-256 40B17DFB17C82FEE8869B45679B664CB595B98872E09FA0E8EA55AAC56231F6C; not fully implemented and not source-to-abstract refinement evidence"
2026-07-31T19:23:19-04:00,M0,scheduler-list-abi-bridge,Codex,,1.869,3,3,,,,,,"Runs 20260731Tscheduler-list-abi-01-minimal through final 20260731Tscheduler-list-abi-03-packed-hval total exactly 112.143 s across three calls/three green; final green 23.281 s with quick_and_dirty=false; 36 ABI facts cover pointer, size/alignment, guard/region, selected-address, field-offset, sentinel, and packed-read compatibility; theory SHA-256 2F9CB0E2D0CE2D99E40AF25C1CDAB75DD8C7FB68018BFBA8E8CD8671427F5434; bounded support only with zero refinement-count/distinct-operation delta"
2026-07-31T19:39:07-04:00,M0,scheduler-list-abi-write-fields,Codex,,0.700,2,2,,,,,,"Runs 20260731Tscheduler-list-abi-write-01-key-field through final 20260731Tscheduler-list-abi-write-02-pointer-fields total exactly 42.023 s across two calls/two green; final green 20.882 s with quick_and_dirty=false; 13 lemmas cover key, next, previous, container, index, and count field addresses and arbitrary-intermediate-heap writes, including explicit pointer-value coercion; theory SHA-256 C972FA5B4CAFCC230056DBA267EC6581B144E93C4BDFCED7015CDB0399AED76A; Stage-D support only with zero refinement-count/distinct-operation delta"
2026-07-31T19:40:00-04:00,M0,scheduler-p2-raw-relation,Codex,,4.184,8,4,,,,,,"Runs 20260731Tscheduler-p2-raw-rel-01-layers through final 20260731Tscheduler-p2-raw-rel-08-empty-extractors total exactly 251.043 s across eight calls/four green; final green 28.897 s with quick_and_dirty=false; exact forward/reverse decoders, generated-root/list/role/scalar/current/boundary/endpoints, exact ready-2 raw singleton, and generic/delayed-A/pending empty witness extraction; conditional endpoint introductions do not construct a concrete preimage or execute/refine source vTaskDelay; theory SHA-256 9A153B79D0871D4D96A5DF82299EF0D40AC8F918692FE60934A8245E048510ED; zero refinement-count/distinct-operation delta"
2026-08-01T14:13:00-04:00,M0,scheduler-p2-positive-delay-exact-source,Codex+delay_composition_audit,,6.889,9,1,,,,,,"Runs 20260801Tscheduler-p2-delay-source-01-top-compose through final 20260801Tscheduler-p2-delay-source-09-canonical-states total exactly 413.312 s; final green 35.056 s with quick_and_dirty=false; scheduler_vTaskDelay_2_p2_exact_state composes exact suspend/remove/generated-key-write/insert/quiet-resume/yield through one artifact-specialized generated vTaskDelay body unfold; theory SHA-256 7BFB623FE099104EA4276D0119CCD6C7B23A0F94ABF04B87FAAFAF3AEB1DD6C0; exact-state support for theorem #12"
2026-08-01T14:25:00-04:00,M0,scheduler-p2-final-list-relation,Codex+post_relation_impl,,6.123,9,5,,,,,,"Runs 20260801Tscheduler-p2-post-relation-01-remove-ready2 through final 20260801Tscheduler-p2-post-relation-09-nat-index total exactly 367.365 s; final green 38.618 s with quick_and_dirty=false; p2_remove_wake_insert_lists_rel checks all eight roots including ready0 root plus P2_IDLE item locality; theory SHA-256 CF5CCB728150BC4B185CEAE448E9E2FAB0C9C88E1CCBCDA1F79E2A67AD7375B8; pure relation assembly"
2026-08-01T14:31:00-04:00,M0,scheduler-p2-positive-delay-conditional-refinement,Codex,,2.824,4,2,,,,,,"Runs 20260801Tscheduler-p2-delay-refinement-01-nonlist through final 20260801Tscheduler-p2-delay-refinement-04-final-heap total exactly 169.437 s; final green 39.603 s with quick_and_dirty=false; scheduler_vTaskDelay_2_p2_refines_task_delay_abs relates the generated source result to task_delay_abs 2 p2_pre; theory SHA-256 43BC41254C609DF8302F38113F662912E2FD99C72D0A612E5A72925E5AA1C9E7; conditional theorem #12, frozen-build layout non-vacuity open"
